CounterPartID,Name,IsBuyer,IsSeller,Phone,Fax
B10001,Test Company 1,Yes,No,3165656667,319889808
B10002,Test Company 2,Yes,No,3165656667,319889808
B10003,Test Company 3,Yes,Yes,3165656667,319889808
B10004,Test Company 4,Yes,Yes,3165656667,319889808
B10005,Test Company 5,Yes,Yes,3165656667,319889808
B10006,Test Company 6,Yes,Yes,3165656667,319889808
B10007,Test Company 7,Yes,Yes,3165656667,319889808
B10008,Test Company 8,Yes,Yes,3165656667,319889808
B10009,Test Company 9,Yes,Yes,3165656667,319889808
B10010,Test Company 10,Yes,Yes,3165656667,319889808
B10011,Test Company 11,Yes,Yes,3165656667,319889808
B10012,Test Company 12,Yes,Yes,3165656667,319889808
B10013,Test Company 13,Yes,Yes,3165656667,319889808
B10014,Test Company 14,Yes,Yes,3165656667,319889808
B10015,Test Company 15,Yes,Yes,3165656667,319889808
B10016,Test Company 16,Yes,Yes,3165656667,319889808
B10017,Test Company 17,Yes,No,3165656667,319889808
B10018,Test Company 18,No,Yes,3165656667,319889808
B10019,Test Company 19,No,Yes,3165656667,319889808
B10020,Test Company 20,No,Yes,3165656667,319889808
B10021,Test Company 21,No,Yes,3165656667,319889808
B10022,Test Company 22,No,Yes,3165656667,319889808
B10023,Test Company 23,No,Yes,3165656667,319889808
B10024,Test Company 24,No,Yes,3165656667,319889808
B10025,Test Company 25,No,Yes,3165656667,319889808
B10026,Test Company 26,No,Yes,3165656667,319889808
B10027,Test Company 27,No,Yes,3165656667,319889808
B10028,Test Company 28,No,Yes,3165656667,319889808
B10029,Test Company 29,No,Yes,3165656667,319889808
B10030,Test Company 30,No,Yes,3165656667,319889808
B10031,Test Company 31,No,Yes,3165656667,319889808
B10032,Test Company 32,No,Yes,3165656667,319889808
B10033,Test Company 33,No,Yes,3165656667,319889808
B10034,Test Company 34,No,Yes,3165656667,319889808
B10035,Test Company 35,No,Yes,3165656667,319889808
B10036,Test Company 36,Yes,No,3165656667,319889808
B10037,Test Company 37,Yes,No,3165656667,319889808
B10038,Test Company 38,Yes,No,3165656667,319889808
B10039,Test Company 39,Yes,No,3165656667,319889808
B10040,Test Company 40,Yes,No,3165656667,319889808
B10041,Test Company 41,Yes,No,3165656667,319889808
B10042,Test Company 42,Yes,No,3165656667,319889808
B10043,Test Company 43,Yes,No,3165656667,319889808
B10044,Test Company 44,Yes,No,3165656667,319889808
B10045,Test Company 45,Yes,No,3165656667,319889808
B10046,Test Company 46,Yes,No,3165656667,319889808
B10047,Test Company 47,Yes,No,3165656667,319889808
B10048,Test Company 48,Yes,No,3165656667,319889808
B10049,Test Company 49,Yes,No,3165656667,319889808
